id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
1169,1156,132.582,256.239,265.601,200.761,156.173,1011.356,20,1,5,1,1,0,0,1,2,5,6,6,1,0,0,0,1,1,1,1,1,0,1,D1dphresh,-0.682565448628221,-0.682565448628221,0,0
1217,1386,140.883,229.423,276.909,263.932,269.087,1180.234,38,1,5,1,0,0,1,1,2,2,3,4,4,0,0,0,1,1,1,1,1,0,1,135evens,0.027021436478553,0.027021436478553,0,0
1248,2477,432.487,421.473,313.412,416.037,384.434,1967.843,36,1,5,1,1,1,1,0,3,5,5,2,1,0,0,0,1,1,1,1,1,0,1,Brother21,0.27563160840142,0.27563160840142,0,0
1266,1451,240.972,194.999,236.785,109.541,105.212,887.509,24,1,5,1,1,1,1,1,4,4,5,2,1,0,0,0,1,1,1,1,1,0,1,olubukola1,1.23382866543106,1.23382866543106,0,0
1287,1391,349.315,99.302,145.859,248.211,302.902,1145.589,29,1,5,1,1,1,1,1,4,6,6,1,1,0,0,0,1,1,1,1,1,0,1,Survey812,1.23382866543106,1.23382866543106,0,0
1298,663,105.414,156.809,110.412,107.019,104.55,584.204,27,1,5,1,1,1,1,1,4,5,4,3,3,0,0,0,1,1,1,1,1,0,1,F9K04TL4,1.70688658883558,1.70688658883558,0,0
1332,560,115.143,71.149,62.489,47.272,57.6,353.653,28,1,5,1,1,1,1,1,4,4,4,2,2,0,0,0,1,1,1,1,1,0,1,Garrett91,1.47035762713332,1.47035762713332,0,0
1348,2065,260.58,141.557,243.052,241.419,238.005,1124.613,38,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1030B1981,-1.87729146736012,-1.87729146736012,0,0
1378,1288,243.921,186.765,194.658,177.041,139.321,941.706,33,1,5,1,0,1,0,0,1,4,4,5,5,0,0,0,1,1,1,1,1,0,1,AV3LDX7BJW,-0.694646658848829,-0.69464665884883,0,0
1400,1962,407.922,274.098,330.675,349.762,320.878,1683.335,62,1,5,1,1,1,1,1,4,6,2,2,5,0,0,0,1,1,1,1,1,0,1,bomber57,2.17994451224009,2.17994451224009,0,0
1401,1096,140.883,188.6,186.079,94.501,119.396,729.459,39,1,5,1,1,1,1,1,4,5,5,3,3,0,0,0,1,1,1,1,1,0,1,A12345678,1.70688658883558,1.70688658883558,0,0
1405,959,104.374,270.923,183.53,107.123,125.095,791.045,42,1,5,1,1,0,0,0,1,4,4,5,5,0,0,0,1,1,1,1,1,0,1,michigan1,-0.694646658848829,-0.69464665884883,0,0
1466,1070,139.589,232.835,164.062,156.146,234.337,926.969,33,1,5,1,1,1,0,0,2,3,3,4,4,0,0,0,1,1,1,1,1,0,1,a1234535,0.027021436478553,0.027021436478553,0,0
1469,1856,325.936,243.051,322.485,339.496,287.648,1518.616,35,1,5,1,0,0,0,0,0,1,1,5,5,0,0,0,1,1,1,1,1,0,1,Roobert198,-1.65284371587847,-1.65284371587847,0,0
1481,1031,135.208,156.568,151.652,182.778,145.479,771.685,38,1,5,1,0,1,1,1,3,5,4,4,1,0,0,0,1,1,1,1,1,0,1,blameless1,0.27563160840142,0.27563160840142,0,0
1511,1640,191.388,314.506,349.877,296.158,301.763,1453.692,57,1,5,1,0,0,0,1,1,5,4,4,4,0,0,0,1,1,1,1,1,0,1,Hannah*1,-0.931175620551088,-0.931175620551088,0,0
1531,1906,188.328,347.81,574.027,385.37,254.625,1750.16,43,1,5,1,1,1,0,0,2,3,4,2,3,0,0,0,1,1,1,1,1,0,1,90210new,-0.209507525223705,-0.209507525223705,0,0
1533,628,138.616,87.836,96.75,90.128,96.245,509.575,59,1,5,1,1,1,0,1,3,6,6,1,1,0,0,0,1,1,1,1,1,0,1,Z45875780,0.27563160840142,0.27563160840142,0,0
1536,972,106.18,184.854,249.141,151.929,109.145,801.249,25,1,5,1,0,1,1,0,2,2,3,3,2,0,0,0,1,1,1,1,1,0,1,AEIOUY9604,-0.446036486925963,-0.446036486925963,0,0
